start_sec;end_sec;speaker;text
0.000;6.920;MIGUEL;Papá mamá, una pregunta complicada, dos opciones y una única respuesta. Hoy os voy
6.920;11.320;MIGUEL;a plantear cuestiones muy variadas que nos han dejado los pizarritas en Instagram, en
11.320;15.920;MIGUEL;arroba somos pizarritas. Arrancamos por ejemplo con una de la selección.
15.920;22.400;MIGUEL;Vale, vale. Venga. Pregunta Mantú López. Como 9 de España,
22.400;25.760;MIGUEL;Mikel Ollarzabal o Ferran Torres? Mikel Ollarzabal.
25.760;28.960;ADRIAN;Mikel Ollarzabal. Ferran Torres.
28.960;34.880;MIGUEL;Yo me quedo con Mikel por lo visto en la selección. Si no le estuviesemos viendo rindiendo tan
34.880;38.880;MIGUEL;bien creo que sería unánime Ferran Torres. Sí, claro. Lógicamente.
38.880;45.200;MIGUEL;Es que es lógico. No, lo que voy es que si de repente se lesionan
45.200;49.600;MIGUEL;los dos delanteros y hay que ubicar a uno, creo que no había dudas con Ferran por su
49.600;53.520;MIGUEL;nivel con el club. Pero rindiendo también Mikel con la selección…
53.520;57.200;ADRIAN;Sí, ya que está funcionando tan bien, yo no lo tocaría de momento.
57.200;62.960;NAHUEL;Así tú lo cambiarías ¿no? Sí, pensalo sobre todo en el Mundial. Creo
62.960;69.600;NAHUEL;que… Es que Ferran… Esto lo decía mucho Luis Enrique cuando apostaba mucho por Morata
69.600;72.880;NAHUEL;y lo terminaba cambiando. El trabajo de desgaste que te puede generar un delantero como Ferran
72.880;79.760;NAHUEL;me parece valiosísimo. Creo que atrae muchas atenciones más que lo que puede atraer Ollarzabal.
79.760;84.880;NAHUEL;Creo que además para esos tipos de partidos contra selecciones del mismo nivel que España
85.360;88.000;NAHUEL;te saca un poquito a jugar más y que no se encierre tan atrás, creo que te puedes tirar
88.000;90.960;NAHUEL;un poco mejor. A mí es un 9 que me gusta más que Ollarzabal.
90.960;94.720;NAHUEL;¿Perdir la bala de Ferran desde el banquillo? Yo por eso prefiero a Mikel de titularia.
94.720;98.480;NAHUEL;Es que yo creo que España tiene buenos revulsivos. En la lista suelen ir buenos revulsivos.
98.480;100.480;NAHUEL;Sí. No lo tengo tan claro.
100.480;105.520;NAHUEL;Bueno, yo creo que en una lista normal podemos ver a Baena, podemos ver a Jeremy, ya veremos
105.520;108.320;NAHUEL;si hay un perfil para lanzar a la bolsa… Pero en la selección…
108.320;110.960;MIGUEL;Sí, que verá que no han terminado de dar ese golpe como revulsivo.
111.040;115.280;MIGUEL;Pueden ser bien en la teoría, pero el único recambio que ha funcionado desde el banquillo
115.280;118.080;MIGUEL;ha sido Mikel Merino. Y no lo digo solo por el día de España, o sea, por el día de
118.080;123.040;MIGUEL;Alemania, sino porque el resto se ha quedado a medio camino. Pero bueno, sí que es verdad
123.040;125.840;MIGUEL;que pintan mejor en la teoría de lo que luego quizás son en la práctica.
125.840;128.000;MIGUEL;Es que tampoco se ha necesitado mucho España, quiero decir.
128.000;132.640;MIGUEL;Ya, bueno, es posible, pero no sé. A mí los cambios, por ejemplo, del día de la final
132.640;135.520;MIGUEL;de la Nations ante Portugal se me quedaron muy cortitos.
135.520;140.400;MIGUEL;Pues lete-bajo-llamas. Lete-bajo-llamas, supéralo now.
140.400;144.400;MIGUEL;¿Prime de Banega o prime de Sergio Canales? Uf…
144.400;146.400;ALEX;Sergio Canales. Para mí Banega.
146.400;149.360;ALEX;Banega, Banega. Ha tenido influencia en copas del mundo también,
149.360;151.840;ALEX;Banega. Para mí esos diferenciales…
151.840;154.080;ADRIAN;A mí el PC más disfrutable es Sergio Canales. ¿Y qué copa del mundo ha tenido influencia?
154.080;157.440;ALEX;Joder, la de 2018, el pase que le mete a Messi contra Nigeria.
157.440;162.880;NAHUEL;Ah, que crea que es el de 2022. O sea, el pase que es, el pase que Messi controla y dirige
163.120;165.840;ALEX;en el mismo paso, ¿no? A mí me parece un pase increíble.
165.840;167.920;MIGUEL;Yo me quedo con Banega, pero al margen de la sección.
167.920;170.080;MIGUEL;No pase. De hecho, para mí el desempeño de Banega
170.080;172.800;MIGUEL;con la selección… Yo esperaba más.
174.000;177.760;ALEX;Sí, claro. También hay que ver los entrenadores que tuvo la selección argentina hasta ese momento.
177.760;179.360;ALEX;Sí. Que ahora mira la generación que tiene
179.360;182.240;ALEX;de centros gampistas que son muy buenos, pero que han encontrado un técnico…
