start_sec;end_sec;speaker;text
0.000;4.880;MIGUEL;Hoy una de las cuestiones que vamos a tratar en este siempre picadito y variadito Q&A
4.880;9.400;MIGUEL;es el equipo que tiene mejor banquillo de la Liga Española.
17.880;24.200;MIGUEL;¿Qué pasa? Pizzarritas, ya es viernes, por fin ya es viernes y estamos aquí en Pizzarritas, claro,
24.200;28.160;MIGUEL;donde si no para hacer un Q&A variadito y picadito con Adrián Blanco,
28.160;34.520;MIGUEL;Alex de Llano y Naguel Miranda. ¿Qué tal chicos? ¿Cómo estáis? Muy buenas. Aquí estamos. Ya os veo
34.520;44.600;MIGUEL;elegantes, no tanto a Adrián Blanco, la verdad, no le veo... Espérate, espérate. Yo... Es... Anclando ya,
44.600;52.920;ADRIAN;minuto uno. Temporada, temporada de bodas, bautizos y comuniones. Así que el bebé en el bautizo,
52.920;59.920;ADRIAN;el novio en la boda y el chaval o la chavala haciendo la comunión que se pongan los calcetines.
59.920;69.160;ADRIAN;Bien, bien, bien. La barra de Toni Kroos. Bien, bien, bien. Los he dejado así porque ponermelos y enseñar la pierna creo que no tocaba.
69.160;78.840;MIGUEL;Bueno, bueno. Vuelves a por otra. Yo creo que enseñar tu pierna, vista la pierna que estás sacando, podría darnos...
78.840;86.560;ADRIAN;Y más ahora con la laser, que me está sacando la pierna. Pfff. Precioso. Sí, sí. Ha venido Adrián Blanco con el niño.
86.560;99.720;MIGUEL;Ayer o antes de ayer en San Jordi vino mucha novia de pizarrita, un tanto harta y frustrada con nosotros
99.720;103.160;MIGUEL;porque hay muchos pizarritas, sobre todo los directores de Champions, que claro, nos ven para
103.160;111.920;MIGUEL;para dormir ya en la cama. Y claro, igual la muchacha quiere leer, quiere ver sus cosas o quiere dormir.
111.920;119.480;MIGUEL;Y tienes ahí al pibardo de turno molestándola. Entonces enseñar la pierna de Adrián Blanco igual podría ser...
119.480;127.920;MIGUEL;Puede aunar, puede aunar. Claro, un buen quid pro quo en este caso en este caso concreto. En todo caso, más allá de los calcetines
127.920;134.080;MIGUEL;En cambio de Adrián Blanco tenemos sudaderas, tenemos camisetones, este tipo de camiseta.
134.080;138.640;MIGUEL;A ver, aquí en cámara, date la vuelta, Nau. Es que está armado por detrás.
138.640;147.360;ALEX;A ver, al público. Ahí está. Suba un poquito, Nau. Muy guapa.
147.360;154.960;NAHUEL;Un poquito, Nau. Que no escucho. O sea, para girarme tengo que dejar de escuchar. Ya está.
155.680;163.040;NAHUEL;El pase de modelos hasta aquí. Oye, pero como Gambea está siempre con nosotros en nuestras vidas, seguro que hay más oportunidades.
163.040;166.240;MIGUEL;Hay que decir que Gambea también hace calzoncillos.
168.960;170.000;MIGUEL;Oye, me han llamado.
172.480;182.800;MIGUEL;Para esa promo todavía queda, en todo caso, tenéis un 10% pizarritas con el código pizarritas10 para esos calcetines, las sudaderas, las camisetas o ese calzoncillo que...
183.760;185.760;MIGUEL;En una primera cita no falla.
185.760;187.280;ALEX;Alex, ¿cómo va lo tuyo?
187.280;190.720;ALEX;A mí, a mí no me agito nadie. También no me hago nada, ni nada.
190.720;192.720;ALEX;Uy, uy, uy.
192.720;194.720;MIGUEL;Uy, ya está.
194.720;195.920;MIGUEL;Aprovecha, aprovecha ahora.
195.920;197.200;MIGUEL;Que enfadica, que enfadica.
197.200;202.320;MIGUEL;Bueno, vamos con la primera cuestión. Es una cuestión...
202.320;207.680;MIGUEL;A ver, lleva un por qué con tilde. O sea, es una pregunta, pero más bien es...
207.680;209.680;MIGUEL;Es un maqueja al aire, no es un...
209.680;210.720;ALEX;Un descaogo, ¿no?
210.800;217.280;MIGUEL;Sí, sí, sí, totalmente. Es de Truvio2219. Hemos sacado las preguntas esta vez de la pestaña comunidad en YouTube.
