start_sec;end_sec;speaker;text
0.000;6.400;MIGUEL;Muy buenos días, pizarritas. Soy Nayef Aguer y hoy os traigo el último Q&A de los cuatro esta temporada.
14.840;23.040;MIGUEL;¿Qué pasa, pizarritas? Ya estamos aquí un viernes más con Mundial de Clubes, mercado de fichajes, calendario de la Liga
23.040;32.040;MIGUEL;y por última vez en esta temporada los cuatro porque en seguida Nau coge vacaciones más que merecidas. ¿Qué tal, Adri? ¿Qué tal, Álex? ¿Qué tal, Nau? ¿Cómo estáis?
32.040;33.520;NAHUEL;¿Qué tal, chicos? Muy buenas.
33.520;35.120;NAHUEL;Estoy cansado, jefe.
35.120;36.880;NAHUEL;Y además...
36.880;40.720;ADRIAN;Oye, que Nayef Aguer siga con la camiseta de la Real Sociedad a 4 de julio.
40.720;44.400;NAHUEL;Ha llegado un poco tarde, la verdad. Estoy de acuerdo, ha llegado tarde el tema.
44.400;46.640;ALEX;Y que tenga acento madrileño. Esto ya me tiene...
46.640;47.360;ALEX;Bueno...
47.360;48.320;ALEX;¿Sabemos cosas?
48.320;50.080;MIGUEL;Bueno, es un poco la RAF, ¿no?
50.320;52.960;MIGUEL;Claro, soy castizo. Soy castizo.
52.960;56.240;MIGUEL;Y voy a tener siempre la Real Sociedad en el corazón.
56.240;58.560;ALEX;¿Qué opinas de Miguel Quintana, Nayef Aguer?
58.560;60.800;MIGUEL;Buen peinado, mal periodista.
60.800;61.840;MIGUEL;Normal.
61.840;71.600;MIGUEL;Bueno, chicos, tenemos hoy material del bueno, porque hay preguntas muy pero que muy interesantes sobre Gonzalo García, Erling Brauthallan,
71.600;78.240;MIGUEL;el calendario, Rodrigo Riquelme, los centrales de Valencia... Tenemos un variadito de verdad.
78.320;84.560;MIGUEL;Voy a arrancar, sin más dilación, con Matthew22 que pregunta...
84.560;88.800;MIGUEL;¿Por cuál creemos que es el techo y el suelo de Gonzalo García?
88.800;95.440;MIGUEL;Y dentro, entiendo yo, de ese techo, nos pregunta también si creemos que podría ser el 9 de la selección.
95.440;101.280;MIGUEL;Que bajo mi punto de vista, para esta pregunta creo que hay que ir piano piano antes de plantearnos esas cosas.
101.280;104.640;MIGUEL;Pero en cuanto al techo y el suelo, Adri, comienzo por ti.
104.640;106.880;MIGUEL;¿Qué dibujarías para Gonzalo García?
