start_sec;end_sec;speaker;text
0.000;9.300;MIGUEL;¿Qué pasa, pizarritas? Ya estamos aquí un viernes más para responder vuestras sabias e interesantes cuestiones que nos dejasteis el otro día en Twitter.
9.300;12.200;MIGUEL;Adrián Blanco, Alex de Llano, Nahuel Miranda, ¿cómo estáis?
12.200;14.800;MIGUEL;¿Qué tal, chicos? Muy buenas. ¿Cómo andamos?
14.800;22.000;MIGUEL;¿Qué tal? Muy buenas. No quiero hacer de menos la camiseta de Nahuel Miranda, pero, hombre, la de Alex y la de Adri...
22.000;23.700;MIGUEL;¿Camisetones, no?
23.700;24.500;MIGUEL;¡Fines!
24.500;26.000;ALEX;Mira, Puli, mira, Puli.
26.000;27.000;ALEX;¿Qué? Bueno.
27.000;27.500;MIGUEL;Pagan.
27.500;29.000;MIGUEL;Bueno, no pagan.
29.000;30.000;MIGUEL;Ah, ¿sabes?
30.000;31.000;MIGUEL;No, no pagan.
31.000;33.000;MIGUEL;A mí me han pagado por ir a torneos de Pickleball.
33.000;36.000;ADRIAN;¡Ah! Pickleball, eh.
36.000;38.000;ADRIAN;En uno de mis incontables...
38.000;39.000;MIGUEL;Trinques, eh.
39.000;41.000;MIGUEL;Images tuosos. Trinques. Hay que...
41.000;42.000;MIGUEL;El trinque de Karlovic.
42.000;47.000;NAHUEL;Hay que alimentar muchas bocas, entre ellas vuestras tres boquitas.
47.000;50.000;NAHUEL;El caso, hoy, hablando de camisetas...
50.000;52.000;NAHUEL;Pero, pero, si eso trincaste solo tú.
52.000;58.000;MIGUEL;Bueno, pero para que vosotros podáis trincar de otras cosas, yo trinco aquí, ¿sabes?
58.000;60.000;MIGUEL;Para que vosotros podáis ganar, yo gané antes.
60.000;61.000;MIGUEL;Miel, miel.
61.000;62.000;NAHUEL;¿No?
62.000;63.000;NAHUEL;No cuela.
63.000;65.000;NAHUEL;¿Has trincao? ¿Has trincao a tope con trincar?
65.000;66.000;NAHUEL;No me perdones la verdad.
66.000;68.000;MIGUEL;De cara, eh. De cara, hay que ir de cara.
68.000;69.000;MIGUEL;Trincando hay que ir de cara.
69.000;80.000;MIGUEL;Bueno, el caso, hoy vamos a regalar camisetones, incluso mejores que los que tenéis, porque son de Gambea, son personalizados y son para uno de los cuatro siguientes equipos,
80.000;86.000;MIGUEL;que son, básicamente, los que han ganado o al menos que están como candidatos en el sorteo de Gambea.
86.000;92.000;MIGUEL;Los de Gambea se han currado una barbaridad, les hemos pedido un vídeo para dilucidar, para tener más argumentos.
92.000;95.000;MIGUEL;Los cuatro elegidos son Julepe.
95.000;96.000;MIGUEL;Julepe.
96.000;101.000;MIGUEL;Los Chavales del Sella, que estarán, imagino, con tu camiseta, Alex.
101.000;105.000;MIGUEL;Equipete Fútbol Club, que ahora es que han hecho un vídeo muy fino.
105.000;110.000;MIGUEL;Y somos Usera Gout, que directamente son Alfred Kitt, Hit Coach.
110.000;111.000;MIGUEL;¿Cine?
111.000;115.000;ALEX;Mira que podrías haber dicho, no sé, Nolan, para asegurar.
115.000;116.000;ALEX;Kubrick.
116.000;117.000;NAHUEL;Kubrick.
117.000;118.000;NAHUEL;Hit Coach.
118.000;119.000;NAHUEL;Rally Scott, no.
119.000;120.000;NAHUEL;Almas Chungos.
120.000;124.000;MIGUEL;¿Cómo ha llamado hoy al nuevo propietario del Récord de Porto Español?
124.000;125.000;NAHUEL;Alan Pisz.
125.000;126.000;MIGUEL;Alan Pisz.
126.000;127.000;MIGUEL;Alan Pisz.
127.000;128.000;MIGUEL;Alan Pisz.
128.000;129.000;MIGUEL;Alan Pisz.
129.000;130.000;NAHUEL;¡Qué nombre que no!
130.000;131.000;NAHUEL;Hay que confiar en Alan Pisz.
131.000;135.000;NAHUEL;Es cuando en Ion Sowitz se impone un rival, ¿no?
135.000;136.000;MIGUEL;Pisz and Love, ¿no?
136.000;137.000;MIGUEL;¿Lo sabéis?
137.000;138.000;MIGUEL;¿La famosa anécdota esa?
138.000;139.000;MIGUEL;Sí, sí.
139.000;140.000;MIGUEL;No nos ha contado nunca.
140.000;144.000;MIGUEL;Bueno, igual hay que escribir un artículo si acabo el del Boxing Day este año.
144.000;148.000;MIGUEL;El caso, vamos con la primera cuestión de este Q&A y diremos quién es el ganador de
148.000;152.000;MIGUEL;este sorteo con Gambea después de la quinta pregunta, ¿vale?
152.000;153.000;MIGUEL;Vale.
153.000;154.000;MIGUEL;Hoy son 11.
154.000;155.000;MIGUEL;¿11?
155.000;156.000;MIGUEL;Es que son muy buenas.
156.000;159.000;MIGUEL;Y he dicho, no puedo dejar ninguna fuera.
159.000;160.000;ADRIAN;¿Al mismo precio?
160.000;161.000;MIGUEL;¿11 al mismo precio?
161.000;162.000;MIGUEL;En principio sí.
162.000;163.000;MIGUEL;Vale.
163.000;164.000;MIGUEL;Ah, venga.
164.000;168.000;MIGUEL;Aquí trinco yo, no trinquéis vosotros.
168.000;173.000;MIGUEL;Primera, primera cuestión de Tecchio Ryoku No Mao.
173.000;174.000;MIGUEL;Jue.
174.000;175.000;MIGUEL;Ejícice.
175.000;181.000;MIGUEL;Ya va siendo hora de hablar de Martín Zubimendi por delante de Rodri de cara al Mundial.
181.000;185.000;MIGUEL;Este es un tema que yo creía que solo íbamos a tratar aquí, pero que tratamos el otro
185.000;186.000;MIGUEL;día en la pizarra.
186.000;193.000;MIGUEL;No lo tenía en el guión, pero que lo sacó Emilio Contreras en el debate y que tiene
193.000;194.000;MIGUEL;mucho sentido.
194.000;198.000;MIGUEL;Rodri es el balón de oro, el mejor mediocentro del mundo, pero viene de una lesión de cruzado,
198.000;200.000;MIGUEL;está teniendo problemas físicos.
200.000;207.000;MIGUEL;No sabemos cómo va a estar en el Mundial, que da tiempo todavía, margen, pero cabe
207.000;209.000;MIGUEL;la posibilidad y hay unas cuantas.
209.000;217.000;MIGUEL;O sea, cabe un alto porcentaje de posibilidades de que Rodri no llegue ni al 100% ni al 90
217.000;218.000;MIGUEL;al Mundial.
218.000;221.000;MIGUEL;Y ahí es donde entra el nombre de Martín Zubimendi.
221.000;226.000;MIGUEL;Si Rodri no está en perfectas condiciones, este es un debate que hay que plantear, chicos.
226.000;229.000;ALEX;A mí es que me parece completamente lógico.
229.000;237.000;ALEX;Rodri no completa una temporada de ser titular, de no sentir esas molestias, de no ser capaz
237.000;239.000;ALEX;de encadenar su fútbol durante mucho tiempo.
239.000;244.000;ALEX;Creo que Martín Zubimendi está ocupando la posición de una manera en la que creo que
244.000;248.000;ALEX;lo que menos ha notado la selección española en el último año es que no estuviera Rodri.
248.000;250.000;ADRIAN;A mí me preocupa cero el tema, la verdad.
251.000;254.000;ADRIAN;Plena confianza en Martín Zubimendi, lo demostró en la final de la Eurocopa entrando desde
254.000;256.000;ADRIAN;el banquillo por Rodri, precisamente.
256.000;262.000;ADRIAN;Si Rodri no llega, si Rodri no encadena partidos, si no tiene regularidad física y no está
262.000;266.000;ADRIAN;al 100% de cara al Mundial, Martín Zubimendi, que creo que en el Arsenal está demostrando
266.000;270.000;ADRIAN;lo que ya vimos en la Real Sociedad, que era uno de los mejores midocentros del mundo,
270.000;271.000;ADRIAN;uno de los mejores en su posición.
271.000;274.000;ADRIAN;Así que en este sentido, máxima tranquilidad.
274.000;277.000;ADRIAN;Me preocuparía más, fíjate, si no está Carvajalzano.
278.000;282.000;NAHUEL;Sí es que queda muchísimo, pero por una valoridad.
282.000;290.000;NAHUEL;He hecho el ejercicio de irme a la misma altura de temporada en el año 2023, esto es en la
290.000;296.000;NAHUEL;previa de la Eurocopa, parón de octubre, segundo partido en Noruega-España, ganan en España
296.000;298.000;NAHUEL;0-1, gol de Gabi.
299.000;303.000;NAHUEL;En aquella convocatoria hay nueve futbolistas que no fueron a la Eurocopa, jugó el titular
303.000;308.000;NAHUEL;de Ferran García en el lateral izquierdo, jugó el propio Gabi, jugó Ansu Fátis en la izquierda,
309.000;311.000;NAHUEL;jugó Ferran Torres en la derecha,
313.000;318.000;NAHUEL;en el banquillo, Kepa, David García, Pau Torres, Pedraza, Brian Zaragoza...
320.000;321.000;NAHUEL;Falta una barbaridad.
322.000;324.000;ADRIAN;Pero ahí estaba empezando el ciclo.
324.000;325.000;ADRIAN;Claro, claro.
325.000;326.000;ADRIAN;Ahora ya no.
326.000;327.000;NAHUEL;No, no.
327.000;328.000;ADRIAN;No hubo tantos cambios en la convocatoria.
329.000;333.000;NAHUEL;No, no, estoy de acuerdo, pero a lo que voy es que faltaba muchísimo.
333.000;337.000;NAHUEL;Entre otras cosas, Gabi, que marca el 0-1, era un pilar fundamental de esta selección.
337.000;338.000;NAHUEL;Capitán general.
338.000;339.000;NAHUEL;Sí, sí, sí.
339.000;340.000;MIGUEL;Entonces...
340.000;341.000;MIGUEL;Pero que...
341.000;343.000;MIGUEL;O sea, estoy de acuerdo, Nao, con tu premisa.
344.000;353.000;MIGUEL;Pero que sea lícito plantear que el balón de oro y que decíamos que era el único futbolista
353.000;361.000;MIGUEL;top mundial junto a Dani Carvajal, estando sano, que no recuperado, no sea indiscutible,
361.000;366.000;MIGUEL;esto habla muy bien de Martín Zubimendi, habla de lo complicado que es recuperarse de una lesión
366.000;370.000;MIGUEL;del ligamento cruzado y habla de que España no está anotando esa ausencia.
370.000;371.000;MIGUEL;Yo tanto como...
371.000;374.000;MIGUEL;O sea, entiendo lo que dice Adri, lo decíamos el otro día, ¿no?
374.000;378.000;MIGUEL;O sea, si juega Martín Zubimendi por la razón que sea, España no va a perder el mundial
378.000;379.000;MIGUEL;porque juega Martín Zubimendi.
379.000;380.000;MIGUEL;No, no, no, ni mucho menos.
380.000;381.000;MIGUEL;No, claro.
381.000;388.000;MIGUEL;Pero es verdad que el mundial, que es una competición muy exigente, muy dura y a veces decía por un mínimo detalle,
388.000;392.000;MIGUEL;pues igual no lo pierdes por Martín Zubimendi, que para mí es top 3 mundial en la posición,
392.000;394.000;MIGUEL;pero igual sí lo ganas por tener a Rodri.
394.000;395.000;MIGUEL;No sé si me explico.
395.000;396.000;NAHUEL;Porque es un plus.
396.000;403.000;NAHUEL;Pero a lo que voy es que es un castillo en el aire en el momento en que depende del estado en el que esté Rodri,
403.000;405.000;NAHUEL;no ahora, sino en mayo.
405.000;409.000;NAHUEL;Entonces, bueno, a mí, como dice Adri, yo estoy tranquilo cuando juega Martín Zubimendi.
409.000;413.000;NAHUEL;Si está Rodri mejor y si no está Rodri 100% pues juega Martín Zubimendi.
413.000;414.000;NAHUEL;Sí, sí, sí.
414.000;415.000;NAHUEL;Estamos de acuerdo.
415.000;419.000;MIGUEL;No, no, creo que estamos todos de acuerdo, simplemente que es el primer momento...
419.000;421.000;NAHUEL;Creo que el debate, quiere decir...
421.000;424.000;MIGUEL;Es un debate para mayo, estoy de acuerdo, pero te quiero decir que el hecho de que...
424.000;429.000;NAHUEL;El debate cuando ves los primeros cuatro o cinco partidos de Zubimendi como titular con España,
429.000;432.000;NAHUEL;dices sí, se puede plantear perfectamente, sí, Zubimendi o Rodri.
432.000;434.000;NAHUEL;Incluso con Rodri el 100%, diría.
434.000;436.000;NAHUEL;Está brillando muchísimo Zubimendi.
436.000;439.000;NAHUEL;El tema es que yo creo que la gente se lo está planteando más ahora
439.000;443.000;NAHUEL;porque creo que hay sensación de que el mundial está más cerca de lo que realmente está.
443.000;444.000;NAHUEL;Ya, puede ser, puede ser.
444.000;446.000;MIGUEL;Sí, porque al final quedan dos parones.
446.000;447.000;MIGUEL;Quedan dos parones, claro.
447.000;449.000;MIGUEL;Claro, no quedan tantos partidos.
449.000;450.000;MIGUEL;Sí que es verdad.
450.000;452.000;MIGUEL;De hecho, esto creo que lo comentamos un día.
452.000;454.000;MIGUEL;No sé si aquí en Pizarritas o en La Pizarra,
454.000;457.000;MIGUEL;pero si España no fuese sobrada de centrocampistas,
457.000;462.000;MIGUEL;vamos a imaginar que no existe Fabián, no existe Pedri, no existe Barrios, ¿vale?
462.000;463.000;MIGUEL;Sí.
463.000;465.000;MIGUEL;Jugarían Rodri y Martín Zubimendi.
465.000;467.000;MIGUEL;Como Muschietti y Sabia Alonso.
467.000;469.000;MIGUEL;De eso lo planteamos varias veces.
469.000;470.000;ADRIAN;Por eso.
470.000;473.000;ADRIAN;Y el otro día se lo preguntaba en el libro de la fuente en rueda de prensa,
