start_sec;end_sec;speaker;text
0.000;6.640;MIGUEL;Hoy estrenamos Formatin, triples imposibles sobre el mercado de fichajes.
15.120;19.640;MIGUEL;¿Qué pasa, pizarritas? Como decía, hoy estrenamos nuevo formato.
19.640;26.960;MIGUEL;Queremos jugar un poquito a esto de ser adivinos con triples imposibles,
26.960;30.720;MIGUEL;triples de espaldas desde el centro del campo que, oye, luego si entran,
30.720;36.840;MIGUEL;pues nos anotamos el tanto y sacamos el clip-in, que esto es algo que nos gusta bastante.
36.840;41.280;MIGUEL;Entonces, esto lo vamos a hacer durante la próxima temporada,
41.280;43.960;MIGUEL;hablaremos, yo que sé, de triples imposibles sobre la liga,
43.960;48.720;MIGUEL;triples imposibles sobre la Champions, y arrancamos con una edición sobre el mercado de fichajes,
48.720;55.240;MIGUEL;donde tenemos 10 de vuestros triplines y, aparte, nosotros vamos a aportar 3 cada uno,
55.240;59.120;MIGUEL;Adrián Blanco, Álex de Llano, Nahuel Miranda y Servidor. ¿Qué tal, chicos? ¿Cómo estáis?
59.120;60.480;ALEX;¿Qué tal? ¿Cómo estamos?
60.480;62.320;ALEX;Aquí preparando la muñeca para ver qué...
62.320;63.720;ALEX;Calienta, calienta.
63.720;65.920;ALEX;La mecánica, la mecánica...
65.920;69.960;MIGUEL;Bueno, bien el codo...
69.960;70.600;MIGUEL;Muy caporable.
70.600;72.880;ALEX;Pero el codo está en posición...
72.880;74.480;MIGUEL;90 grados ya, pero la...
74.480;78.680;ALEX;Es que sabes lo que pasa, que no me deja... el plano no me deja desarrollar bien.
78.680;80.880;MIGUEL;Sí, sí, sí, es el plano, precisamente.
80.880;81.600;MIGUEL;Es el plano justo.
81.960;87.040;MIGUEL;Bueno, vamos a arrancar con el primer triple imposible, que es una combinación que nos plantea
87.040;93.280;MIGUEL;Álex 21MC... No, Álex, no, Adam, 21MC, que es una maravilla.
93.280;101.920;MIGUEL;Nico se queda en Atletik, Rasfor al Barça, Grilis al Villa, Rodrigo al City y el Arsenal se come los mogos.
101.920;103.920;MIGUEL;¿Cómo de probable veis esto?
103.920;105.760;NAHUEL;Ah, pero esto no son triples, ¿no? Bueno, lo de...
105.760;108.120;NAHUEL;Joder, Nico...
108.120;108.760;NAHUEL;¿No?
108.800;113.800;MIGUEL;Hombre, la combinación en sí me parece un triple... o sea que...
113.800;114.800;MIGUEL;Me parece un triple.
114.800;116.560;NAHUEL;A ver, repite, repite de nuevo.
116.560;123.480;MIGUEL;Nico se queda en Atletik, Rasfor al Barça, Grilis al Villa, Rodrigo al City y el Arsenal se come los mogos.
